D90,r,m,v,,
26.53601326,0.78697136,-0.2,0.0379493,367,10
59.97557503,0.834018029,-0.2,-0.37610716,368,10
39.65411454,0.726938988,-0.2,0.030260449,369,10
55.25395913,0.768459316,-0.2,-0.015512702,370,10
45.12766446,0.802704587,-0.2,0.104353985,371,10
42.14092548,0.63182487,-0.2,-0.071903459,372,10
26.73527819,0.697791199,-0.2,0.582089937,373,10
42.7512339,0.967953912,-0.2,0.336701259,374,10
35.42618382,0.918803423,-0.2,0.371660406,375,10
32.06303791,0.912857284,-0.2,0.102718597,376,10
31.01099321,0.695991596,-0.2,-0.018179249,377,10
17.94928689,0.581855827,-0.2,0.396588657,378,10
20.8403095,0.571864166,-0.2,0.101868898,379,10
23.36360845,0.641958157,-0.2,0.226905614,380,10
19.86489366,0.69262734,-0.2,0.080377185,381,10
25.04499551,0.620681153,-0.2,0.377702251,382,10
25.22173666,0.768961343,-0.2,0.5189383,383,10
31.75488151,0.751836868,-0.2,0.010079292,384,10
41.87015644,0.688140755,-0.2,0.032832874,385,10
21.5101139,0.628679787,-0.2,0.100955605,386,10
26.75945814,0.729716482,-0.2,0.092996765,387,10
30.43973719,0.804062332,-0.2,-0.046869256,388,10
24.07946843,0.790259204,-0.2,0.117478829,389,10
28.89036864,0.717049116,-0.2,0.063160088,390,10
18.03869729,0.630950282,-0.2,0.141198437,391,10
30.62577346,0.964865546,-0.2,0.065617987,392,10
47.26956738,0.84881063,-0.2,-0.262451064,393,10
42.21999053,0.793020958,-0.2,0.473065614,394,10
27.23850216,0.855994955,-0.2,0.265224271,395,10
33.34277733,0.808611907,-0.2,0.050777534,396,10
39.4744677,0.753783953,-0.2,0.461935473,397,10
32.7479236,0.826470814,-0.2,0.178617334,398,10
26.96853722,0.848393334,-0.2,0.059119196,399,10
30.89642536,0.815622236,-0.2,0.307286736,400,10
24.78914682,0.756874695,-0.2,0.28315261,401,10
21.70020737,0.717546698,-0.2,0.379741687,402,10
26.83038949,0.810956849,-0.371428571,-0.082149165,403,11
29.29458141,0.783491855,-0.371428571,0.0379493,404,11
38.44008195,0.7848016,-0.371428571,-0.396144089,405,11
44.98486412,0.755359398,-0.371428571,-0.37610716,406,11
35.43976157,0.736104015,-0.371428571,0.104353985,407,11
32.79803653,0.692835604,-0.371428571,0.138969263,408,11
28.99955862,0.720989525,-0.371428571,-0.152173471,409,11
